workload,bs,bs_bytes,qd,iops,bw_mibps,lat_mean_us,lat_p99_us
randomwrite,64k,65536,4,1596.042375,99.75264835357666,2505.271619537,3817.472
randomwrite,64k,65536,8,1606.072713,100.37954425811768,4979.210203234,6717.44
randomwrite,64k,65536,16,1678.250449,104.89065265655518,9531.037964416999,11993.088
randomwrite,64k,65536,32,1634.734117,102.17088222503662,19568.589646686,23724.032
randomwrite,64k,65536,64,1635.100258,102.19376564025879,39133.196378702996,45875.2
randomwrite,64k,65536,128,1584.234323,99.01464462280273,80766.84165206601,119013.376
randomwrite,64k,65536,256,1500.770416,93.79815006256104,170505.596630647,316669.952
randomwrite,128k,131072,1,710.457908,88.80723762512207,1406.129483816,1974.272
randomwrite,128k,131072,2,826.869252,103.35865592956543,2417.3288851549996,3424.256
randomwrite,128k,131072,4,779.020979,97.3776216506958,5132.150677866,6389.76
randomwrite,128k,131072,8,789.421158,98.67764377593994,10130.6060311,12255.232
randomwrite,128k,131072,16,769.874477,96.23430919647217,20774.017066511,24248.32
randomwrite,128k,131072,32,779.452598,97.43157386779785,41038.691576845,45875.2
randomwrite,128k,131072,64,776.748768,97.09359550476074,82371.169977169,103284.736
randomwrite,128k,131072,128,761.21423,95.15177822113037,168070.43584379,283115.52
randomwrite,128k,131072,256,778.881039,97.36012935638428,328518.05742461403,530579.456
randomwrite,256k,262144,1,429.914017,107.4785041809082,2324.3164939529997,3489.792
randomwrite,256k,262144,2,388.411588,97.10289669036865,5145.105101852,6258.688
randomwrite,256k,262144,4,396.644697,99.1611738204956,10079.402828298,11993.088
randomwrite,256k,262144,8,389.121339,97.28033447265625,20545.589340502,23724.032
randomwrite,256k,262144,16,373.536997,93.38424873352051,42804.55314923001,46923.776
randomwrite,256k,262144,32,404.799683,101.19992065429688,79014.46188192099,88604.672
randomwrite,256k,262144,64,384.154589,96.03864669799805,166477.303662978,287309.824
randomwrite,256k,262144,128,365.849092,91.46227264404297,349637.883472875,666894.336
randomwrite,256k,262144,256,395.11837,98.77959251403809,647498.6573032959,1400897.536
sequentialread,4k,4096,1,12553.689262,49.037848472595215,79.491061245,119.296
sequentialread,4k,4096,2,24674.865027,96.38619136810303,80.889401203,120.32
sequentialread,4k,4096,4,49147.170566,191.98113441467285,81.23018095900001,121.344
sequentialread,4k,4096,8,79818.636273,311.79154777526855,100.057473143,309.248
sequentialread,4k,4096,16,100018.996201,390.69920349121094,159.796796465,692.224
sequentialread,4k,4096,32,122548.490302,478.70503997802734,260.946179026,1433.6
sequentialread,4k,4096,64,137764.388489,538.1421422958374,464.329635271,2834.432
sequentialread,4k,4096,128,143883.270038,562.044023513794,889.361096099,5275.648
sequentialread,4k,4096,256,148024.75544,578.221700668335,1729.115407224,9895.936
sequentialread,8k,8192,1,10362.127574,80.95412158966064,96.331048918,166.912
sequentialread,8k,8192,2,20770.245951,162.26754570007324,96.123987927,166.912
sequentialread,8k,8192,4,35610.877824,278.2099828720093,112.152113364,252.928
sequentialread,8k,8192,8,46021.995601,359.5468397140503,173.649406333,509.952
sequentialread,8k,8192,16,56752.64947,443.3800735473633,281.726519544,954.368
sequentialread,8k,8192,32,65905.037985,514.8831090927124,485.319626712,1777.664
sequentialread,8k,8192,64,69119.104716,539.9930047988892,925.6007515699999,3424.256
sequentialread,8k,8192,128,71383.416583,557.6829414367676,1792.529198184,6324.224
sequentialread,8k,8192,256,73525.46435,574.4176893234253,3480.883067458,11599.872
sequentialread,16k,16384,1,8088.582284,126.38409805297852,123.442418902,248.832
sequentialread,16k,16384,2,15072.185563,235.50289916992188,132.51428464,246.784
sequentialread,16k,16384,4,20654.269146,322.72295475006104,193.47872499300001,370.688
sequentialread,16k,16384,8,25610.277944,400.1605920791626,312.180252231,733.184
sequentialread,16k,16384,16,30537.092581,477.1420707702637,523.708557224,1269.76
sequentialread,16k,16384,32,32899.240304,514.0506296157837,972.448251401,2211.84
sequentialread,16k,16384,64,33893.884892,529.5919513702393,1887.9413772350001,3981.312
sequentialread,16k,16384,128,35028.166201,547.3150968551636,3653.079173161,7438.336
sequentialread,16k,16384,256,36153.140578,564.8928213119507,7078.985044333,13828.096
sequentialread,32k,32768,1,5148.770246,160.89906978607178,194.018771409,436.224
sequentialread,32k,32768,2,9693.661268,302.9269142150879,206.113876212,440.32
sequentialread,32k,32768,4,14734.053189,460.4391613006592,271.269544833,634.88
sequentialread,32k,32768,8,17374.325135,542.947660446167,460.267663421,1122.304
sequentialread,32k,32768,16,18790.441912,587.2013092041016,851.265450054,1941.504
sequentialread,32k,32768,32,19787.569944,618.3615598678589,1616.667717533,3555.328
sequentialread,32k,32768,64,20572.741807,642.8981809616089,3110.360941212,6782.976
sequentialread,32k,32768,128,21352.166101,667.2551898956299,5992.964509093,12648.448
sequentialread,32k,32768,256,22037.686939,688.677716255188,11613.066904903,22151.168
sequentialread,64k,65536,1,3228.754249,201.79714012145996,309.466288227,798.72
sequentialread,64k,65536,2,5996.0008,374.75004959106445,333.315382545,839.68
sequentialread,64k,65536,4,8887.422515,555.463906288147,449.827565023,1253.376
sequentialread,64k,65536,8,9897.840864,618.6150531768799,807.9372063870001,1990.656
sequentialread,64k,65536,16,10507.4985,656.7186555862427,1522.358076559,3457.024
sequentialread,64k,65536,32,10990.613142,686.9133205413818,2910.71218012,6520.832
sequentialread,64k,65536,64,11545.327476,721.5829668045044,5542.142361559,12124.16
sequentialread,64k,65536,128,12026.142487,751.6339044570923,10641.522851999,20840.448
sequentialread,64k,65536,256,12397.292994,774.8308115005493,20641.910897678,37486.592
sequentialread,128k,131072,1,1854.829034,231.85362911224365,538.658151466,1531.904
sequentialread,128k,131072,2,3453.509298,431.6886615753174,578.760419895,1728.512
sequentialread,128k,131072,4,4683.263347,585.4079179763794,853.834119636,2342.912
sequentialread,128k,131072,8,5182.926829,647.8658533096313,1543.096543877,3686.4
sequentialread,128k,131072,16,5569.458325,696.1822900772095,2872.124941573,6455.296
sequentialread,128k,131072,32,5933.50639,741.6882982254028,5391.520072724,11993.088
sequentialread,128k,131072,64,6246.460618,780.8075771331787,10243.048600492,20578.304
sequentialread,128k,131072,128,6455.016956,806.877119064331,19822.443588645998,35913.728
sequentialread,128k,131072,256,6681.510934,835.1888666152954,38291.671704297,66322.432
sequentialread,256k,262144,1,985.405838,246.3514585494995,1014.223843985,3096.576
sequentialread,256k,262144,2,1615.276945,403.8192358016968,1237.551719237,3457.024
sequentialread,256k,262144,4,2172.26219,543.0655469894409,1840.423827231,4620.288
sequentialread,256k,262144,8,2548.651349,637.1628370285034,3137.9488699440003,7110.656
sequentialread,256k,262144,16,2857.171394,714.2928476333618,5598.3800507589995,12124.16
sequentialread,256k,262144,32,3081.771041,770.442759513855,10379.880655384,20578.304
sequentialread,256k,262144,64,3184.498904,796.1247253417969,20089.006324595,36438.016
sequentialread,256k,262144,128,3304.563492,826.1408729553223,38714.415467247,66846.72
sequentialread,256k,262144,256,3462.357115,865.5892782211304,73851.974261385,124256.256
sequentialwrite,4k,4096,1,23041.391722,90.00543594360352,43.22838306,329.728
sequentialwrite,4k,4096,2,44693.2,174.58281230926514,44.609193362999996,440.32
sequentialwrite,4k,4096,4,78013.197361,304.73905181884766,51.121310169999994,528.384
